pH,osmolality,Rhodobacteraceae,unclassified Bacteria,Legionellaceae,unclassified Enterobacterales,Crocinitomicaceae,Pseudomonadaceae,Moraxellaceae,Chitinophagaceae,Comamonadaceae,Nostocaceae,Beijerinckiaceae,DTU014,NS9_marine_group,unclassified Clostridia,unclassified Oscillospirales,Rhizobiales_Incertae_Sedis,Acidimicrobiaceae,Clostridium_methylpentosum_group,Pasteurellaceae,Selenomonadaceae,unclassified Lactobacillales,Methanobacteriaceae,unclassified Archaea,Peptococcaceae,Actinomycetaceae,Clostridia_UCG-014,Eubacterium_coprostanoligenes_group,unclassified Firmicutes,Akkermansiaceae,Marinifilaceae,Ethanoligenenaceae,Christensenellaceae,Prevotellaceae,Monoglobaceae,Desulfovibrionaceae,Acidithiobacillaceae,Bacillaceae,Anaerofustaceae,Erysipelotrichaceae,Acidiferrobacteraceae,Anaerovoracaceae,Peptostreptococcaceae,Barnesiellaceae,Acidaminococcaceae,Streptococcaceae,Butyricicoccaceae,Leptospirillaceae,Erysipelatoclostridiaceae,Rikenellaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Tannerellaceae,Sutterellaceae,Veillonellaceae,Clostridiaceae,Lactobacillaceae,Bacteroidaceae,Coriobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Peptostreptococcales-Tissierellales,Bifidobacteriaceae,Leuconostocaceae,Enterococcaceae,Muribaculaceae,Campylobacteraceae,Gastranaerophilales
7.4,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194621,0,0,0,0,0,0,0,0,0,0.000194621,0,0,0,0,0,0,0.000583862,0,0,0,0,0.000856331,0,0.000934179,0,0,0.018527889,0.003503172,0.001518041,0.000233545,0.018605737,0.014051613,0,0.018800358,0,0,0.078432136,0.001556965,0.054727336,0.058853295,0.164182009,0.000506014,0,0.563738274,0,0,0
NaN,1247,0,0,5.82971E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74457E-05,0,0,0,0,0,0.000349783,0,0,0,0,0.001457429,0,0,0,0,0,0,0,0,0,0,0.000262337,0,0.001661469,0,0,0,0,0,0,0,0.00040808,0.000116594,0.202203632,0.00367272,0.255516367,0.000437229,0,0.533768619,0,0,0
NaN,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000249672,0,0.000374508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000249672,0,0,0.000436927,0,0.001997378,0,0,0.000187254,0,0.000436927,0,0,0.000998689,0.000187254,0.076274889,0.005492791,0.181199675,0.000187254,0,0.731727108,0,0,0
NaN,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123625,0,0,0,0,0,0,0,0,0,0,0,0,0.000185437,0.000556311,0.000556311,0.000370874,0,0,0.000494499,0,0,0,0.001421684,0,0.000741748,0,0.005439486,0,0.001298059,0.002163432,0,0.016689331,0.012795154,0.022932377,0,0.025713933,0.026579305,0.068055384,0.013660527,0.025281246,0,0.1477933,0.012053406,0.060390654,0.227469403,0.004883175,0.06292496,0,0.259426382,0,0,0
NaN,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26011E-05,0,0,0,0.000315607,0,0,0.000105202,0,0,0.001841039,0.000315607,0,0,0,0,0,0.000999421,0,0,0,0.000157803,0.000263006,0.00047341,0.000157803,0.020198832,0,0.026721372,0.104939246,0,0.04860344,0.004891905,0.165009731,0.106254274,0.252380201,0.000841618,0,0.265477881,0,0,0
5.5,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451642,0.000516162,0,0.000322601,0,0,0.000258081,0,0,0,0,0.001096845,0,0,0,0,0,0.000129041,0,6.45203E-05,0.000193561,0,0.001419446,0.000387122,0.002064649,0,0.000322601,0,0.000193561,0,0,0.112458868,0.003161494,0.074133815,0,0.014710626,0,0.784373185,0,0.003742177,0,0,0
6.9,NaN,0,0,0,0,0,0,0,8.71422E-05,0,0,0,0,0,0,0,0,0,0,0,0,8.71422E-05,0,0,0,0,0,0,0,0,0,0.00039214,0,0,0,0,0,0,0,0.000304998,0,0,0,0.002701407,0,0.002962834,0,0,0.013942748,0.009411355,0.002744978,0,0.018169143,0.020914121,0.011154198,0.022787678,0.040085399,0,0.127401856,0.011110627,0.086183609,0.198684153,0.055553135,0.020173413,0,0.355147924,0,0,0
7.4,NaN,0,0,0,0,0,0,0,0,0,0,9.15332E-05,0,0,0,0,0,0.0001373,0.0001373,0,0,0,0,0.0002746,0.000320366,0.000366133,9.15332E-05,0,0,0,0,0.000503432,0.000823799,0,0,0.000823799,0.001372998,0,0,0,0.002196796,0.001693364,0,0.001052632,0,0,0.00173913,0.010572082,0.001647597,0.008970252,0.003295195,0.001098398,0.021052632,0.016567506,0,0.009336384,0.020228833,0,0.106498856,0.010022883,0.150663616,0.107093822,0.089565217,0.000732265,0,0.431029748,0,0,0
NaN,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795503,0,0,0,0,0,0,0.000212134,0,0,0,0,0,0,0,0,0,0,0.044123886,0.001007637,0.113915995,0.000636402,0,0.838778108,0,0,0
NaN,1824,0,0,0,0,0,7.14082E-05,0,0,7.14082E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107112,0,0,0,0,0,0,0,0,0.000642674,0,0,0,0,0,0,7.14082E-05,0.000749786,0,0.000107112,0,0,7.14082E-05,0,0,0.00017852,0,0.026349614,0.001142531,0.055055698,0.000357041,0,0.915024279,0,0,0
